order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO43810,8,5,2011-01-23,2011-01-30,2011-02-04,3400,1,3400
SO43811,9,27,2011-01-23,2011-01-30,2011-02-04,3400,1,3400
SO43812,17,16663,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43813,5,17391,2011-01-24,2011-01-31,2011-02-05,3375,1,3375
SO43814,5,14867,2011-01-24,2011-01-31,2011-02-05,3375,1,3375
SO43815,16,5495,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43816,19,5497,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43817,20,5520,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43818,17,5529,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43819,9,7,2011-01-24,2011-01-31,2011-02-05,3400,1,3400
SO43820,17,16652,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43821,20,16664,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43822,18,16670,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43823,38,8943,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43824,36,3559,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43825,18,5350,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43826,3,9,2011-01-25,2011-02-01,2011-02-06,3375,1,3375
SO43827,36,14251,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43828,20,16606,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43829,20,16612,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43830,16,5348,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43831,4,29,2011-01-26,2011-02-02,2011-02-07,3375,1,3375
SO43832,20,2585,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43833,20,10728,2011-01-27,2011-02-03,2011-02-08,3578,1,3578
SO43834,3,17394,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43835,3,8803,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43836,47,15621,2011-01-27,2011-02-03,2011-02-08,699,1,699
SO43837,5,10,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43838,18,16642,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43839,16,16674,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43840,42,6958,2011-01-28,2011-02-04,2011-02-09,699,1,699
SO43841,19,2407,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43842,17,5631,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43918,18,11042,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43919,19,1125,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43920,18,17067,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43921,18,5744,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43922,20,2547,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43923,17,17019,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO43924,20,1133,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO43925,19,5662,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO43926,6,56,2011-01-31,2011-02-07,2011-02-12,3375,1,3375
SO43927,19,5663,2011-01-31,2011-02-07,2011-02-12,3578,1,3578
SO43928,18,5741,2011-01-31,2011-02-07,2011-02-12,3578,1,3578
SO43929,46,14271,2011-01-31,2011-02-07,2011-02-12,699,1,699
SO43930,17,17039,2011-02-01,2011-02-08,2011-02-13,3578,1,3578
SO43931,18,2549,2011-02-01,2011-02-08,2011-02-13,3578,1,3578
SO43932,19,5742,2011-02-01,2011-02-08,2011-02-13,3578,1,3578
SO43933,10,32,2011-02-01,2011-02-08,2011-02-13,3400,1,3400
SO43934,9,35,2011-02-01,2011-02-08,2011-02-13,3400,1,3400
SO43935,40,9049,2011-02-02,2011-02-09,2011-02-14,699,1,699
SO43936,16,17066,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43937,17,6048,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43938,20,5687,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43939,17,5660,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43940,41,14295,2011-02-02,2011-02-09,2011-02-14,699,1,699
SO43941,19,2601,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43942,20,6052,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43943,36,3566,2011-02-03,2011-02-10,2011-02-15,699,1,699
SO43944,7,55,2011-02-03,2011-02-10,2011-02-15,3400,1,3400
SO43945,20,5676,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43946,18,5688,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43947,20,5713,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43948,8,48,2011-02-03,2011-02-10,2011-02-15,3400,1,3400
SO43949,20,16727,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43950,16,17015,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43951,16,5697,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43952,17,5640,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43953,38,9050,2011-02-05,2011-02-12,2011-02-17,699,1,699
SO43954,16,2603,2011-02-05,2011-02-12,2011-02-17,3578,1,3578
SO43955,19,2662,2011-02-05,2011-02-12,2011-02-17,3578,1,3578
SO43956,7,31,2011-02-05,2011-02-12,2011-02-17,3400,1,3400
SO43957,18,17069,2011-02-06,2011-02-13,2011-02-18,3578,1,3578
SO43958,17,5659,2011-02-06,2011-02-13,2011-02-18,3578,1,3578
SO43959,3,36,2011-02-06,2011-02-13,2011-02-18,3375,1,3375
SO43960,4,47,2011-02-06,2011-02-13,2011-02-18,3375,1,3375
SO43961,16,17032,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43962,17,17077,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43963,19,5686,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43964,17,5746,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43965,6,39,2011-02-07,2011-02-14,2011-02-19,3375,1,3375
SO43966,10,40,2011-02-07,2011-02-14,2011-02-19,3400,1,3400
SO43967,18,17041,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43968,18,17068,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43969,20,17072,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43970,16,5685,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43971,19,5658,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43972,19,10940,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43973,17,17040,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43974,17,2688,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43975,17,2541,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43976,20,17064,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43977,17,5704,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43978,20,17031,2011-02-10,2011-02-17,2011-02-22,3578,1,3578
SO43979,46,3577,2011-02-10,2011-02-17,2011-02-22,699,1,699
SO43980,6,49,2011-02-10,2011-02-17,2011-02-22,3375,1,3375
SO43981,19,5665,2011-02-10,2011-02-17,2011-02-22,3578,1,3578
SO43982,38,14272,2011-02-10,2011-02-17,2011-02-22,699,1,699
SO43983,19,17018,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43984,16,2546,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43985,18,2516,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43986,20,17071,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43987,20,17043,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43988,7,245,2011-02-12,2011-02-19,2011-02-24,3400,1,3400
SO43989,17,17084,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43990,7,14873,2011-02-12,2011-02-19,2011-02-24,3400,1,3400
SO43991,20,5661,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43992,16,5639,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43993,19,5930,2011-02-14,2011-02-21,2011-02-26,3578,1,3578
SO43994,19,16682,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43995,17,10814,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43996,20,16921,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43997,20,17023,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43998,3,34,2011-02-15,2011-02-22,2011-02-27,3375,1,3375
SO43999,16,17048,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO44000,16,16919,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44001,18,17045,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44002,41,3573,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44003,38,8326,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44004,20,17062,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44005,40,15630,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44006,20,5745,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44007,45,14556,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44008,17,16679,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44009,19,16760,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44010,20,2681,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44011,20,2515,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44012,4,53,2011-02-17,2011-02-24,2011-03-01,3375,1,3375
SO44013,17,5929,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44014,18,16918,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44015,16,2694,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44016,5,248,2011-02-18,2011-02-25,2011-03-02,3375,1,3375
SO44017,20,17079,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44018,5,14877,2011-02-18,2011-02-25,2011-03-02,3375,1,3375
SO44019,20,5702,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44020,16,5932,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44021,3,33,2011-02-18,2011-02-25,2011-03-02,3375,1,3375
SO44022,18,11009,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44023,4,8831,2011-02-19,2011-02-26,2011-03-03,3375,1,3375
SO44024,19,5664,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44025,19,5709,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44026,20,6046,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44027,20,10922,2011-02-20,2011-02-27,2011-03-04,3578,1,3578
SO44028,17,6049,2011-02-20,2011-02-27,2011-03-04,3578,1,3578
SO44029,5,51,2011-02-20,2011-02-27,2011-03-04,3375,1,3375
SO44030,16,1132,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44031,18,2690,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44032,7,244,2011-02-21,2011-02-28,2011-03-05,3400,1,3400
SO44033,19,5694,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44034,18,5703,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44035,17,5708,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44036,20,6047,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44037,43,14273,2011-02-21,2011-02-28,2011-03-05,699,1,699
SO44038,7,14869,2011-02-21,2011-02-28,2011-03-05,3400,1,3400
SO44039,38,6972,2011-02-22,2011-03-01,2011-03-06,699,1,699
SO44040,6,58,2011-02-22,2011-03-01,2011-03-06,3375,1,3375
SO44041,18,5743,2011-02-22,2011-03-01,2011-03-06,3578,1,3578
SO44042,18,2679,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44043,16,2680,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44044,19,2691,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44045,7,17395,2011-02-23,2011-03-02,2011-03-07,3400,1,3400
SO44046,18,17065,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44047,7,14879,2011-02-23,2011-03-02,2011-03-07,3400,1,3400
SO44048,19,5714,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44049,19,2539,2011-02-24,2011-03-03,2011-03-08,3578,1,3578
SO44050,20,6051,2011-02-24,2011-03-03,2011-03-08,3578,1,3578
SO44051,20,2692,2011-02-25,2011-03-04,2011-03-09,3578,1,3578
SO44052,19,5638,2011-02-25,2011-03-04,2011-03-09,3578,1,3578
SO44053,36,8330,2011-02-26,2011-03-05,2011-03-10,699,1,699
SO44054,19,2543,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44055,20,2544,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44056,19,2560,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44057,36,3578,2011-02-26,2011-03-05,2011-03-10,699,1,699
SO44058,5,57,2011-02-26,2011-03-05,2011-03-10,3375,1,3375
SO44059,18,5689,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44060,38,14274,2011-02-26,2011-03-05,2011-03-10,699,1,699
SO44061,20,16920,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44062,20,17042,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44063,7,241,2011-02-27,2011-03-06,2011-03-11,3400,1,3400
SO44064,20,11051,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44065,20,17063,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44066,7,14868,2011-02-27,2011-03-06,2011-03-11,3400,1,3400
SO44067,20,6050,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44068,18,2542,2011-02-28,2011-03-07,2011-03-12,3578,1,3578
SO44069,4,17396,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO44070,4,8830,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO44071,18,5692,2011-02-28,2011-03-07,2011-03-12,3578,1,3578
SO44072,16,5657,2011-02-28,2011-03-07,2011-03-12,3578,1,3578
SO44073,6,45,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO44134,20,2822,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44135,20,17157,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44136,16,11115,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44137,19,6329,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44138,20,2766,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44139,16,2793,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44140,16,1222,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44141,18,2573,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44142,18,11059,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44143,18,17146,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44144,17,6072,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44145,20,6310,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44146,18,6311,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44147,20,6321,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44148,20,17173,2011-03-03,2011-03-10,2011-03-15,3578,1,3578
SO44149,17,6243,2011-03-03,2011-03-10,2011-03-15,3578,1,3578
SO44150,17,6316,2011-03-03,2011-03-10,2011-03-15,3578,1,3578
SO44151,43,14559,2011-03-03,2011-03-10,2011-03-15,699,1,699
SO44152,9,335,2011-03-04,2011-03-11,2011-03-16,3400,1,3400
SO44153,17,17169,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44154,16,17182,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44155,18,17132,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44156,9,14888,2011-03-04,2011-03-11,2011-03-16,3400,1,3400
SO44157,19,6056,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44158,16,2568,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44159,16,17183,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44160,17,17187,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44161,19,2773,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44162,16,17186,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44163,19,17194,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44164,20,17089,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44165,18,6066,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44166,36,3582,2011-03-06,2011-03-13,2011-03-18,699,1,699
SO44167,19,6309,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44168,18,1212,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44169,16,17180,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44170,19,17184,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44171,18,17113,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44172,36,3585,2011-03-07,2011-03-14,2011-03-19,699,1,699
SO44173,17,2785,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44174,16,6230,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44175,18,6247,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44176,19,1221,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44177,5,338,2011-03-09,2011-03-16,2011-03-21,3375,1,3375
SO44178,17,17098,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44179,5,14889,2011-03-09,2011-03-16,2011-03-21,3375,1,3375
SO44180,10,59,2011-03-09,2011-03-16,2011-03-21,3400,1,3400
SO44181,17,6295,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44182,20,6300,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44183,20,17159,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44184,19,6248,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44185,20,6281,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44186,10,14890,2011-03-12,2011-03-19,2011-03-24,3400,1,3400
SO44187,18,6070,2011-03-12,2011-03-19,2011-03-24,3578,1,3578
SO44188,40,9053,2011-03-13,2011-03-20,2011-03-25,699,1,699
SO44189,46,9055,2011-03-13,2011-03-20,2011-03-25,699,1,699
SO44190,3,62,2011-03-13,2011-03-20,2011-03-25,3375,1,3375
SO44191,20,6249,2011-03-13,2011-03-20,2011-03-25,3578,1,3578
